date,AAVE,ADA,APT,AR,ARB,AVAX,BTC,DOT,DYDX,ETH,FIL,GALA,JUP,LDO,LINK,POL,SKY,NEAR,OKB,ONDO,OP,RENDER,SOL,TAO,TIA,GRAM,TRX,UNI,ZEC,INJ,JOE,XLM,LTC,RON,XRP,GLM,BCH,ICP
2016-01-01,,,,,,,430.0,,,10.0,,,,,,,15.0,,,,,,,,,,,,400.0,,,,,,,,,
2016-01-08,,,,,,,538.86,,,14.53,,,,,,,18.09,,,,,,,,,,,,563.4,,,,,,,,,
2016-01-15,,,,,,,650.58,,,19.6,,,,,,,16.6,,,,,,,,,,,,538.06,,,,,,,,,
2016-01-22,,,,,,,772.59,,,26.71,,,,,,,18.56,,,,,,,,,,,,547.5,,,,,,,,,
2016-01-29,,,,,,,766.97,,,26.58,,,,,,,17.63,,,,,,,,,,,,526.82,,,,,,,,,
2016-02-05,,,,,,,814.19,,,28.18,,,,,,,17.16,,,,,,,,,,,,499.55,,,,,,,,,
2016-02-12,,,,,,,791.95,,,29.51,,,,,,,18.2,,,,,,,,,,,,475.34,,,,,,,,,
2016-02-19,,,,,,,840.96,,,30.53,,,,,,,19.81,,,,,,,,,,,,490.92,,,,,,,,,
2016-02-26,,,,,,,808.28,,,30.12,,,,,,,20.88,,,,,,,,,,,,519.48,,,,,,,,,
2016-03-04,,,,,,,833.38,,,30.33,,,,,,,21.29,,,,,,,,,,,,523.42,,,,,,,,,
2016-03-11,,,,,,,842.92,,,28.42,,,,,,,21.69,,,,,,,,,,,,528.35,,,,,,,,,
2016-03-18,,,,,,,868.17,,,29.98,,,,,,,22.7,,,,,,,,,,,,588.73,,,,,,,,,
2016-03-25,,,,,,,887.17,,,29.22,,,,,,,23.64,,,,,,,,,,,,578.98,,,,,,,,,
2016-04-01,,,,,,,891.62,,,33.11,,,,,,,22.54,,,,,,,,,,,,619.68,,,,,,,,,
2016-04-08,,,,,,,929.61,,,34.08,,,,,,,21.72,,,,,,,,,,,,662.36,,,,,,,,,
2016-04-15,,,,,,,915.73,,,33.68,,,,,,,22.43,,,,,,,,,,,,698.32,,,,,,,,,
2016-04-22,,,,,,,955.03,,,31.36,,,,,,,23.6,,,,,,,,,,,,696.92,,,,,,,,,
2016-04-29,,,,,,,1001.81,,,32.16,,,,,,,25.22,,,,,,,,,,,,710.97,,,,,,,,,
2016-05-06,,,,,,,1056.01,,,34.89,,,,,,,25.72,,,,,,,,,,,,687.63,,,,,,,,,
2016-05-13,,,,,,,1011.52,,,36.19,,,,,,,26.3,,,,,,,,,,,,667.33,,,,,,,,,
2016-05-20,,,,,,,1031.47,,,33.74,,,,,,,27.05,,,,,,,,,,,,694.11,,,,,,,,,
2016-05-27,,,,,,,1085.65,,,35.07,,,,,,,30.22,,,,,,,,,,,,738.06,,,,,,,,,
2016-06-03,,,,,,,1124.35,,,32.74,,,,,,,26.71,,,,,,,,,,,,764.42,,,,,,,,,
2016-06-10,,,,,,,1185.39,,,33.63,,,,,,,28.07,,,,,,,,,,,,780.49,,,,,,,,,
2016-06-17,,,,,,,1183.54,,,33.43,,,,,,,28.17,,,,,,,,,,,,772.84,,,,,,,,,
2016-06-24,,,,,,,1246.23,,,32.35,,,,,,,30.73,,,,,,,,,,,,771.72,,,,,,,,,
2016-07-01,,,,,,,1242.46,,,33.51,,,,,,,31.16,,,,,,,,,,,,826.45,,,,,,,,,
2016-07-08,,,,,,,1200.29,,,34.05,,,,,,,32.51,,,,,,,,,,,,887.34,,,,,,,,,
2016-07-15,,,,,,,1243.86,,,36.35,,,,,,,32.3,,,,,,,,,,,,820.16,,,,,,,,,
